Model,Mean_IoU_No_Aug,Mean_Dice_No_Aug,Mean_IoU_Aug,Mean_Dice_Aug
U-Net,0.7967,0.8592,0.8250,0.8759
U-Net++,0.7204,0.8179,0.7425,0.8389
Attention U-Net,0.8088,0.8782,0.8324,0.8983
Deep ResU-Net,0.7567,0.8349,0.7802,0.8546
nnU-Net,0.8188,0.8892,0.8421,0.9088
